0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:17:24 +0530] "GET /DigitalGallery/resources/bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:17:24 +0530] "GET /DigitalGallery/resources/bootstrap-theme.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:17:24 +0530] "GET /DigitalGallery/resources/bootstrap.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:17:24 +0530] "GET /DigitalGallery/resources/bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:17:24 +0530] "GET /DigitalGallery/resources/font/font-awesome.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:17:24 +0530] "GET /DigitalGallery/resources/jquery.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:17:24 +0530] "GET /DigitalGallery/resources/bootstrap.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:17:24 +0530] "GET /DigitalGallery/resources/My_Design/%7B%7Bproducts.productid%7D%7D.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:17:24 +0530] "GET /DigitalGallery/resources/My_Design/104.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:17:25 +0530] "GET /DigitalGallery/Carddetails?pid=104 HTTP/1.1" 200 8862
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:17:26 +0530] "GET /DigitalGallery/resources/bootstrap.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:17:26 +0530] "GET /DigitalGallery/resources/font/font-awesome.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:17:26 +0530] "GET /DigitalGallery/resources/bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:17:26 +0530] "GET /DigitalGallery/resources/My_Design/angular.min.js HTTP/1.1" 200 160048
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:17:26 +0530] "GET /DigitalGallery/resources/bootstrap-theme.min.css HTTP/1.1" 404 992
